frame_id,timestamp,dt_ms,my_x,my_y,my_z,my_raw_vx,my_raw_vy,my_raw_vz,my_raw_kmh,my_pos_vx,my_pos_vy,my_pos_vz,my_pos_kmh,my_chosen_vx,my_chosen_vy,my_chosen_vz,my_chosen_kmh,my_source,my_is_staircase,my_speed_delta_kmh,tg_ptr,tg_raw_kmh,tg_pos_kmh,tg_chosen_kmh,tg_source
26,1788706263.6688,16.66,1842.517,217.152,2029.122,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
27,1788706263.6855,16.67,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
28,1788706263.7021,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
29,1788706263.7188,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
30,1788706263.7355,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,-0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
31,1788706263.7521,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,-0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
32,1788706263.7688,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
33,1788706263.7855,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
34,1788706263.8021,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
35,1788706263.8188,16.66,1842.517,217.152,2029.122,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
36,1788706263.8355,16.66,1842.517,217.152,2029.122,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
37,1788706263.8521,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
38,1788706263.8688,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
39,1788706263.8854,16.67,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
40,1788706263.9021,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,-0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
41,1788706263.9188,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,-0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
42,1788706263.9354,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
43,1788706263.9521,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
44,1788706263.9688,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
45,1788706263.9854,16.66,1842.517,217.152,2029.122,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
46,1788706264.0021,16.66,1842.517,217.152,2029.122,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
47,1788706264.0187,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
48,1788706264.0354,16.67,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
49,1788706264.0521,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
50,1788706264.0687,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,-0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
51,1788706264.0854,16.67,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
52,1788706264.1021,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
53,1788706264.1187,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
54,1788706264.1354,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
55,1788706264.1521,16.67,1842.517,217.152,2029.122,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
56,1788706264.1687,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
57,1788706264.1854,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
58,1788706264.2021,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
59,1788706264.2187,16.67,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
60,1788706264.2354,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,-0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
61,1788706264.2520,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
62,1788706264.2687,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
63,1788706264.2854,16.67,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
64,1788706264.3020,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
65,1788706264.3187,16.66,1842.517,217.152,2029.122,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
66,1788706264.3354,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
67,1788706264.3520,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
68,1788706264.3687,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
69,1788706264.3854,16.66,1842.517,217.152,2029.121,0.00,0.00,0.00,0.0,-0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
70,1788706264.4020,16.66,1842.517,217.153,2029.121,0.00,0.00,0.00,0.0,-0.00,0.00,-0.00,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
71,1788706264.4187,16.67,1842.517,217.153,2029.122,0.00,0.00,0.00,0.0,0.00,0.00,0.01,0.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
72,1788706264.4354,16.66,1842.517,217.153,2029.123,0.00,0.00,0.00,0.0,0.00,0.00,0.01,0.1,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
73,1788706264.4520,16.67,1842.518,217.153,2029.124,0.00,0.00,0.00,0.0,0.01,0.00,0.02,0.1,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
74,1788706264.4687,16.66,1842.518,217.153,2029.125,0.00,0.00,0.00,0.0,0.01,0.00,0.03,0.1,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
75,1788706264.4853,16.66,1842.519,217.153,2029.128,0.00,0.00,0.00,0.0,0.02,0.00,0.06,0.2,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
76,1788706264.5020,16.66,1842.520,217.153,2029.130,0.00,0.00,0.00,0.0,0.03,0.00,0.07,0.3,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
77,1788706264.5187,16.66,1842.521,217.153,2029.133,0.00,0.00,0.00,0.0,0.04,0.00,0.08,0.3,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
78,1788706264.5353,16.66,1842.522,217.153,2029.135,0.00,0.00,0.00,0.0,0.04,0.00,0.10,0.4,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
79,1788706264.5520,16.66,1842.522,217.153,2029.135,0.00,0.00,0.00,0.0,0.03,0.00,0.08,0.3,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
80,1788706264.5687,16.67,1842.524,217.153,2029.138,0.00,0.00,0.00,0.0,0.04,0.00,0.10,0.4,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
81,1788706264.5853,16.67,1842.526,217.153,2029.142,0.00,0.00,0.00,0.0,0.05,0.00,0.13,0.5,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
82,1788706264.6020,16.66,1842.528,217.153,2029.148,0.00,0.00,0.00,0.0,0.07,0.00,0.16,0.6,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
83,1788706264.6187,16.66,1842.532,217.154,2029.158,0.00,0.00,0.00,0.0,0.10,0.00,0.25,0.9,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
