Timestamp,Target_ID,Distance,T_PosX,T_PosY,T_PosZ,T_VelX,T_VelY,T_VelZ,T_AccX,T_AccY,T_AccZ,Pred_PosX,Pred_PosY,Pred_PosZ,Best_Time,Drag_K,Bullet_Speed,Bullet_Mass,Bullet_CD,Bullet_Caliber,My_PosX,My_PosY,My_PosZ,My_VelX,My_VelY,My_VelZ
1773538301.82080,1644244944,3340.82002,4782.94238,754.78198,421.40463,-46.73791,-0.55266,125.02126,-1.20042,-0.37559,0.40639,4671.28395,752.58404,713.27360,2.32662,0.00007,1500.00000,0.95000,0.80000,0.01600,1795.54749,217.37860,1817.02197,0.00000,0.00000,0.00000
1773538301.84047,1644244944,3340.82002,4782.94238,754.78198,421.40463,-46.73791,-0.55266,125.02126,-1.20042,-0.37559,0.40639,4671.26511,752.57791,713.27817,2.32660,0.00007,1500.00000,0.95000,0.80000,0.01600,1795.54749,217.37860,1817.02197,0.00000,0.00000,0.00000
1773538301.84726,1644244944,3340.82002,4782.94238,754.78198,421.40463,-46.73791,-0.55266,125.02126,-1.20042,-0.37559,0.40639,4671.26511,752.57791,713.27817,2.32660,0.00007,1500.00000,0.95000,0.80000,0.01600,1795.54749,217.37860,1817.02197,0.00000,0.00000,0.00000
1773538301.85726,1644244944,3338.59329,4781.83496,754.76825,424.36099,-46.73791,-0.55266,125.02126,-1.20042,-0.37559,0.40639,4670.22705,752.56340,716.03658,2.32500,0.00007,1500.00000,0.95000,0.80000,0.01600,1795.54749,217.37860,1817.02197,0.00000,0.00000,0.00000
1773538301.86911,1644244944,3336.41348,4780.75000,754.75458,427.25656,-46.73791,-0.55266,125.02126,-1.20042,-0.37559,0.40639,4669.21022,752.54904,718.73835,2.32344,0.00007,1500.00000,0.95000,0.80000,0.01600,1795.54749,217.37860,1817.02197,0.00000,0.00000,0.00000
1773538301.88177,1644244944,3336.41348,4780.75000,754.75458,427.25656,-46.73791,-0.55266,125.02126,-1.20042,-0.37559,0.40639,4669.20225,752.54645,718.74029,2.32343,0.00007,1500.00000,0.95000,0.80000,0.01600,1795.54749,217.37860,1817.02197,0.00000,0.00000,0.00000
1773538301.89359,1644244944,3334.26849,4779.68115,754.74097,430.10657,-46.73791,-0.55266,125.02126,-1.20042,-0.37559,0.40639,4668.20108,752.53238,721.39946,2.32189,0.00007,1500.00000,0.95000,0.80000,0.01600,1795.54749,217.37860,1817.02197,0.00000,0.00000,0.00000
1773538301.90576,1644244944,3334.26849,4779.68115,754.74097,430.10657,-46.73791,-0.55266,125.02126,-1.20042,-0.37559,0.40639,4668.19384,752.53002,721.40122,2.32189,0.00007,1500.00000,0.95000,0.80000,0.01600,1795.54749,217.37860,1817.02197,0.00000,0.00000,0.00000
1773538301.91667,1644244944,3332.13304,4778.61621,754.72717,432.94534,-46.73791,-0.55266,125.02126,-1.20042,-0.37559,0.40639,4667.19696,752.51600,724.04988,2.32036,0.00007,1500.00000,0.95000,0.80000,0.01600,1795.54749,217.37860,1817.02197,0.00000,0.00000,0.00000
1773538301.92946,1644244944,3332.13304,4778.61621,754.72717,432.94534,-46.73791,-0.55266,125.02126,-1.20042,-0.37559,0.40639,4667.19039,752.51386,724.05148,2.32035,0.00007,1500.00000,0.95000,0.80000,0.01600,1795.54749,217.37860,1817.02197,0.00000,0.00000,0.00000
1773538301.94134,1644244944,3330.01204,4777.55713,754.71326,435.76526,-46.73791,-0.55266,125.02126,0.00000,0.00000,0.00000,4669.06036,753.43033,725.98796,2.32135,0.00007,1500.00000,0.95000,0.80000,0.01600,1795.54749,217.37860,1817.02197,0.00000,0.00000,0.00000
1773538301.95328,1644244944,3330.01204,4777.55713,754.71326,435.76526,-46.73791,-0.55266,125.02126,0.00000,0.00000,0.00000,4669.06036,753.43033,725.98796,2.32135,0.00007,1500.00000,0.95000,0.80000,0.01600,1795.54749,217.37860,1817.02197,0.00000,0.00000,0.00000
1773538301.96583,1644244944,3327.89475,4776.49902,754.69922,438.58157,-46.73791,-0.55266,125.02126,0.00000,0.00000,0.00000,4668.07300,753.41712,728.61504,2.31983,0.00007,1500.00000,0.95000,0.80000,0.01600,1795.54749,217.37860,1817.02197,0.00000,0.00000,0.00000
1773538301.97766,1644244944,3327.89475,4776.49902,754.69922,438.58157,-46.73791,-0.55266,125.02126,0.00000,0.00000,0.00000,4668.07300,753.41712,728.61504,2.31983,0.00007,1500.00000,0.95000,0.80000,0.01600,1795.54749,217.37860,1817.02197,0.00000,0.00000,0.00000
1773538301.98971,1644244944,3325.73819,4775.42041,754.68475,441.45157,-47.03145,-0.63176,125.11382,-1.22094,-0.32900,0.38496,4663.48802,752.40201,732.07954,2.31520,0.00007,1500.00000,0.95000,0.80000,0.01600,1795.54749,217.37860,1817.02197,0.00000,0.00000,0.00000
1773538302.00163,1644244944,3325.73819,4775.42041,754.68475,441.45157,-47.03145,-0.63176,125.11382,-1.22094,-0.32900,0.38496,4663.48305,752.40062,732.08063,2.31519,0.00007,1500.00000,0.95000,0.80000,0.01600,1795.54749,217.37860,1817.02197,0.00000,0.00000,0.00000
1773538302.01364,1644244944,3323.56568,4774.33252,754.66998,444.34338,-47.03145,-0.63176,125.11382,-1.22094,-0.32900,0.38496,4662.46721,752.38656,734.77846,2.31364,0.00007,1500.00000,0.95000,0.80000,0.01600,1795.54749,217.37860,1817.02197,0.00000,0.00000,0.00000
